Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Summary;;;;;;;;;;;;;;;;;;;;;;;;
"H3KUEI3L,journalArticle,2024.0,""Yi, Peng"; Liang, Lei; Zhang, Da; Chen, Yong; Zhu, Jinye; Liu, Xiangyu; Tang, Kun; Chen, Jialin; Lin, Hao; Qiu, Leijie;" Zhou, Jun"",KGFabric: A Scalable Knowledge Graph Warehouse for Enterprise Data Interconnection,Proceedings of the VLDB Endowment,,2150-8097,10.14778/3685800.3685810,https://dl.acm.org/doi/10.14778/3685800.3685810,""Based on the diversified application scenarios at Ant Group, we built the Ant Knowledge Graph Platform (AKGP). It has constructed numerous domain-specific knowledge graphs related to merchants, companies, accounts, products, and more. AKGP manages trillions of structured knowledge graphs, serving search, recommendation, risk control and other businesses. However, as the demand increasing for various workloads such as graph pattern matching, graph representation learning, and cross-domain knowledge reuse, the existing warehouse systems based on relational DBMS or graph databases are unable to meet the requirements. To address these issues, we propose KGFabric, an industrial-scale knowledge graph management system built on the distributed file system (DFS). KGFabric offers a nearline knowledge storage engine that utilizes a Semantic-enhanced Programmable Graph (SPG) model, which is compatible with the Labeled Property Graph (LPG) model. The data is persistently stored in DFS, such as HDFS, which leverages the POSIX file system API, making it suitable for deployment in multi-cloud environment at low cost. KGFabric provides a native graph-based and hybrid storage format that can serve as a shared backend for parallel graph computing systems, significantly accelerating the analysis of multi-workload. Additionally, KGFabric includes a graph fabric framework that minimizes data duplication and guarantees data security.             KGFabric is able to manage Peta-scale data and has supported graph fabric and analysis with over 100 billion relations at Ant Group. We conduct experiments on various datasets to evaluate the performance of KGFabric. Compared with popular relational DBMS and graph databases, the storage space for semantic relations is reduced by over 90%. The performance of graph fabric improves by 21× in real-world workloads. In multi-hop semantic graph analysis, KGFabric enhances performance by 100×."",2024-08,2024-11-26 18:03:34,2024-11-26 18:03:34,2024-11-26 18:03:34,3841-3854,,12.0,17.0,,Proc. VLDB Endow.,KGFabric,,,,,,,en,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";;;;;;;;;;;;;;
"MCWCQZEH,preprint,2024.0,""Gao, Yunfan"; Xiong, Yun; Gao, Xinyu; Jia, Kangxiang; Pan, Jinliu; Bi, Yuxi; Dai, Yi; Sun, Jiawei; Wang, Meng;" Wang, Haofen"",Retrieval-Augmented Generation for Large Language Models: A Survey,,,,10.48550/arXiv.2312.10997,http://arxiv.org/abs/2312.10997,""Large Language Models (LLMs) showcase impressive capabilities but encounter challenges like hallucination, outdated knowledge, and non-transparent, untraceable reasoning processes. Retrieval-Augmented Generation (RAG) has emerged as a promising solution by incorporating knowledge from external databases. This enhances the accuracy and credibility of the generation, particularly for knowledge-intensive tasks, and allows for continuous knowledge updates and integration of domain-specific information. RAG synergistically merges LLMs' intrinsic knowledge with the vast, dynamic repositories of external databases. This comprehensive review paper offers a detailed examination of the progression of RAG paradigms, encompassing the Naive RAG, the Advanced RAG, and the Modular RAG. It meticulously scrutinizes the tripartite foundation of RAG frameworks, which includes the retrieval, the generation and the augmentation techniques. The paper highlights the state-of-the-art technologies embedded in each of these critical components, providing a profound understanding of the advancements in RAG systems. Furthermore, this paper introduces up-to-date evaluation framework and benchmark. At the end, this article delineates the challenges currently faced and points out prospective avenues for research and development."",2024-03-27,2024-12-20 15:36:03,2024-12-20 15:36:03,2024-12-20 15:36:03,,,,,,,Retrieval-Augmented Generation for Large Language Models,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2312.10997 [cs],,C:\Users\kasutaja\Zotero\storage\77YKKAKC\Gao et al. - 2024 - Retrieval-Augmented Generation for Large Language .pdf"; C:\Users\kasutaja\Zotero\storage\ZFFDUHG4\2312.html,,,Computer Science - Artificial Intelligence; Computer Science - Computation and Language,,,,,,,,,,,,,,,,,,,arXiv:2312.10997,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;;;
"TWVFRHV5,journalArticle,2024.0,""Rajabi, Enayat";" Etminani, Kobra"",Knowledge-graph-based explainable AI: A systematic review,Journal of Information Science,,0165-5515,10.1177/01655515221112844,https://doi.org/10.1177/01655515221112844,""In recent years, knowledge graphs (KGs) have been widely applied in various domains for different purposes. The semantic model of KGs can represent knowledge through a hierarchical structure based on classes of entities, their properties, and their relationships. The construction of large KGs can enable the integration of heterogeneous information sources and help Artificial Intelligence (AI) systems be more explainable and interpretable. This systematic review examines a selection of recent publications to understand how KGs are currently being used in eXplainable AI systems. To achieve this goal, we design a framework and divide the use of KGs into four categories: extracting features, extracting relationships, constructing KGs, and KG reasoning. We also identify where KGs are mostly used in eXplainable AI systems (pre-model, in-model, and post-model) according to the aforementioned categories. Based on our analysis, KGs have been mainly used in pre-model XAI for feature and relation extraction. They were also utilised for inference and reasoning in post-model XAI. We found several studies that leveraged KGs to explain the XAI models in the healthcare domain."",2024-08-01,2025-02-09 14:32:17,2025-02-09 14:32:17,2025-02-09 14:32:17,1019-1029,,4.0,50.0,,,Knowledge-graph-based explainable AI,,,,,,,en,,,,,SAGE Journals,,Publisher: SAGE Publications Ltd,,C:\Users\kasutaja\Zotero\storage\WLKWRBEW\Rajabi and Etminani - 2024 - Knowledge-graph-based explainable AI A systematic.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.";;;;;;;;;;;;;;;;;;;;;;;
"QZ9JVEXP,journalArticle,2023.0,""Gilliard, Ezekia"; Liu, Jinshuo;" Aliyu, Ahmed Abubakar"",Knowledge graph-guided object detection with semantic distance network,Electronics Letters,,1350-911X,10.1049/ell2.13051,https://onlinelibrary.wiley.com/doi/abs/10.1049/ell2.13051,""In this research study, the inadequacies of current object detection techniques are analyzed. These techniques solely recognize individual objects without considering their interrelationships. To address this issue, a novel solution called the knowledge graph-guided semantic distance network (KGSDN) approach is proposed. By utilizing a knowledge graph, KGSDN provides semantic contextual cues, leading to enhanced object detection accuracy. The KGSDN framework seamlessly integrates the knowledge graph and object detection network and employs an attention-based network to evaluate the semantic distance between objects. As a result, the conditional object probability of every bounding box is updated, and the joint probability of all objects in the image is determined. The empirical findings indicate that this approach significantly improves the performance of deep learning-based object detection methods."",2023,2025-02-09 14:47:20,2025-02-09 14:47:20,2025-02-09 14:47:20,e13051,,24.0,59.0,,,,,,,,,,en,,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1049/ell2.13051,,C:\Users\kasutaja\Zotero\storage\MQ6YN5I8\10.1049ell2.html,,,computer vision"; knowledge graph; object detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;;;;;;;;;;
"RGTT54IT,preprint,2024.0,""Fanourakis, Nikolaos"; Lekbour, Fatia; Efthymiou, Vasilis; Renton, Guillaume;" Christophides, Vassilis"",HybEA: Hybrid Attention Models for Entity Alignment,,,,10.48550/arXiv.2407.02862,http://arxiv.org/abs/2407.02862,""The proliferation of Knowledge Graphs (KGs) that support a wide variety of applications, like entity search, question answering and recommender systems, has led to the need for identifying overlapping information among different KGs. Entity Alignment (EA) is the problem of detecting such overlapping information among KGs that refer to the same real-world entities. Recent works have shown a great potential in exploiting KG embeddings for the task of EA, with most works focusing on the structural representation of entities (i.e., entity neighborhoods) in a KG and some works also exploiting the available factual information of entities (e.g., their names and associated literal values). However, real-word KGs exhibit high levels of structural and semantic heterogeneity, making EA a challenging task in which most existing methods struggle to achieve good results. In this work, we propose HybEA, an open-source EA method that focuses on both structure and facts, using two separate attention-based models. Our experimental results show that HybEA outperforms state-of-the-art methods by at least 5% and as much as 20+% (with an average difference of 11+%) Hits@1, in 5 widely used benchmark datasets."",2024-07-03,2025-02-09 21:13:43,2025-02-09 21:13:43,2025-02-09 21:13:43,,,,,,,HybEA,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2407.02862 [cs],,C:\Users\kasutaja\Zotero\storage\2H32CKPD\Fanourakis et al. - 2024 - HybEA Hybrid Attention Models for Entity Alignmen.pdf"; C:\Users\kasutaja\Zotero\storage\BC8MGTX4\2407.html,,,Computer Science - Databases,,,,,,,,,,,,,,,,,,,arXiv:2407.02862,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;;;;;;;;;
"5QUYJLH4,conferencePaper,2024.0,""Vieira da Silva, Luis Miguel"; Kocher, Aljosha; Gehlhoff, Felix;" Fay, Alexander"",On the Use of Large Language Models to Generate Capability Ontologies,2024 IEEE 29th International Conference on Emerging Technologies and Factory Automation (ETFA),,,10.1109/ETFA61755.2024.10710775,https://ieeexplore.ieee.org/abstract/document/10710775,""Capability ontologies are increasingly used to model functionalities of systems or machines. The creation of such onto-logical models with all properties and constraints of capabilities is very complex and can only be done by ontology experts. However, Large Language Models (LLMs) have shown that they can generate machine-interpretable models from natural language text input and thus support engineers / ontology experts. Therefore, this paper investigates how LLMs can be used to create capability ontologies. We present a study with a series of experiments in which capabilities with varying complexities are generated using different prompting techniques and with different LLMs. Errors in the generated ontologies are recorded and compared. To analyze the quality of the generated ontologies, a semi-automated approach based on RDF syntax checking, OWL reasoning, and SHACL constraints is used. The results of this study are very promising because even for complex capabilities, the generated ontologies are almost free of errors."",2024-09,2025-02-09 21:14:23,2025-02-09 21:14:23,2025-02-09 21:14:23,1-8,,,,,,,,,,,,,,,,,,IEEE Xplore,,ISSN: 1946-0759,,C:\Users\kasutaja\Zotero\storage\QHT57PDP\Vieira da Silva et al. - 2024 - On the Use of Large Language Models to Generate Ca.pdf"; C:\Users\kasutaja\Zotero\storage\QVHLT4T8\10710775.html,,,Capabilities; Cognition; Complexity theory; Large language models; Large Language Models; LLMs; Model-Generation; Natural languages; Ontologies; OWL; Resource description framework; Semantic Web; Shape; Skills; Syntactics; Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 IEEE 29th International Conference on Emerging Technologies and Factory Automation (ETFA),,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;
"G44NAFY5,preprint,2023.0,""Pan, Jeff Z."; Razniewski, Simon; Kalo, Jan-Christoph; Singhania, Sneha; Chen, Jiaoyan; Dietze, Stefan; Jabeen, Hajira; Omeliyanenko, Janna; Zhang, Wen; Lissandrini, Matteo; Biswas, Russa; Melo, Gerard de; Bonifati, Angela; Vakaj, Edlira; Dragoni, Mauro;" Graux, Damien"",Large Language Models and Knowledge Graphs: Opportunities and Challenges,,,,10.48550/arXiv.2308.06374,http://arxiv.org/abs/2308.06374,""Large Language Models (LLMs) have taken Knowledge Representation -- and the world -- by storm. This inflection point marks a shift from explicit knowledge representation to a renewed focus on the hybrid representation of both explicit knowledge and parametric knowledge. In this position paper, we will discuss some of the common debate points within the community on LLMs (parametric knowledge) and Knowledge Graphs (explicit knowledge) and speculate on opportunities and visions that the renewed focus brings, as well as related research topics and challenges."",2023-08-11,2025-02-09 21:25:57,2025-02-09 21:25:57,2025-02-09 21:25:57,,,,,,,Large Language Models and Knowledge Graphs,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2308.06374 [cs],,C:\Users\kasutaja\Zotero\storage\WB25RMMS\Pan et al. - 2023 - Large Language Models and Knowledge Graphs Opport.pdf"; C:\Users\kasutaja\Zotero\storage\PJT7YUCH\2308.html,,,Computer Science - Artificial Intelligence; Computer Science - Computation and Language,,,,,,,,,,,,,,,,,,,arXiv:2308.06374,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;
YFT6IM4R,webpage,,,Construction of Knowledge Graphs: Current State and Challenges,,,,,https://www.mdpi.com/2078-2489/15/8/509#B389-information-15-00509,,,2025-02-09 21:26:13,2025-02-09 21:26:13,2025-02-09 21:26:13,,,,,,,,,,,,,,,,,,,,,,,C:\Users\kasutaja\Zotero\storage\UK4FDTZL\509.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abstrakti pole saadaval.;;;;;;;;;;;;;;;;;;;;;;;;
"8ZMHY6HI,journalArticle,2024.0,""Venkataramanan, Revathy"; Tripathy, Aalap; Kumar, Tarun; Serebryakov, Sergey; Justine, Annmary; Shah, Arpit; Bhattacharya, Suparna; Foltin, Martin; Faraboschi, Paolo; Roy, Kaushik;" Sheth, Amit"",Constructing a metadata knowledge graph as an atlas for demystifying AI pipeline optimization,Frontiers in Big Data,,2624-909X,10.3389/fdata.2024.1476506,,""The emergence of advanced artificial intelligence (AI) models has driven the development of frameworks and approaches that focus on automating model training and hyperparameter tuning of end-to-end AI pipelines. However, other crucial stages of these pipelines such as dataset selection, feature engineering, and model optimization for deployment have received less attention. Improving efficiency of end-to-end AI pipelines requires metadata of past executions of AI pipelines and all their stages. Regenerating metadata history by re-executing existing AI pipelines is computationally challenging and impractical. To address this issue, we propose to source AI pipeline metadata from open-source platforms such as Papers-with-Code, OpenML, and Hugging Face. However, integrating and unifying the varying terminologies and data formats from these diverse sources is a challenge. In this study, we present a solution by introducing Common Metadata Ontology (CMO) which is used to construct an extensive AI Pipeline Metadata Knowledge Graph (AIMKG) consisting of 1.6 million pipelines. Through semantic enhancements, the pipeline metadata in AIMKG is also enriched for downstream tasks such as search and recommendation of AI pipelines. We perform quantitative and qualitative evaluations on AIMKG to search and recommend relevant pipelines to user query. For quantitative evaluation, we propose a custom aggregation model that outperforms other baselines by achieving a retrieval accuracy (R@1) of 76.3%. Our qualitative analysis shows that AIMKG-based recommender retrieved relevant pipelines in 78% of test cases compared to the state-of-the-art MLSchema-based recommender which retrieved relevant responses in 51% of the cases. AIMKG serves as an atlas for navigating the evolving AI landscape, providing practitioners with a comprehensive factsheet for their applications. It guides AI pipeline optimization, offers insights and recommendations for improving AI pipelines, and serves as a foundation for data mining and analysis of evolving AI workflows."",2024,2025-02-09 21:39:21,2025-02-09 21:39:21,,1476506,,,7.0,,Front Big Data,,,,,,,,eng,,,,,PubMed,,PMID: 39839155 PMCID: PMC11748301,,C:\Users\kasutaja\Zotero\storage\AWAG28WF\Venkataramanan et al. - 2024 - Constructing a metadata knowledge graph as an atla.pdf"; ,http://www.ncbi.nlm.nih.gov/pubmed/39839155,,AI pipeline metadata; AI pipeline optimization; AIMKG; graph learning; graph recommendation; metadata knowledge graphs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;
"BZFE7AM6,journalArticle,2025.0,""Zhu, Simiao"; Zhou, Jianliang; Cheng, Lei; Fu, Xuehai; Wang, Yan;" Dai, Kexin"",Research on a BIM Model Quality Compliance Checking Method Based on a Knowledge Graph,Journal of Computing in Civil Engineering,,,10.1061/JCCEE5.CPENG-5950,https://ascelibrary.org/doi/10.1061/JCCEE5.CPENG-5950,""AbstractWith the development of information technology, building information modeling (BIM) is becoming widely used in the construction industry. It is very important to ensure the quality and compliance of BIM models. To solve the problem of time-..."",2025-01-01,2025-02-16 14:41:59,2025-02-16 14:41:59,2025-02-16 14:41:59,04024049,,1.0,39.0,,,,,,,,,,EN,© 2024 American Society of Civil Engineers,,,,ASCE,,Publisher: American Society of Civil Engineers,,C:\Users\kasutaja\Zotero\storage\2JINBV5G\Zhu et al. - 2025 - Research on a BIM Model Quality Compliance Checkin.pdf,,,Automated checking"; Building information model; C#; Knowledge graph; Revit secondary development; Rule base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;;;;
"T4GBUYP3,preprint,2024.0,""Chen, Ruirui"; Jiang, Weifeng; Qin, Chengwei; Rawal, Ishaan Singh; Tan, Cheston; Choi, Dongkyu; Xiong, Bo;" Ai, Bo"",LLM-Based Multi-Hop Question Answering with Knowledge Graph Integration in Evolving Environments,,,,10.48550/arXiv.2408.15903,http://arxiv.org/abs/2408.15903,""The important challenge of keeping knowledge in Large Language Models (LLMs) up-to-date has led to the development of various methods for incorporating new facts. However, existing methods for such knowledge editing still face difficulties with multi-hop questions that require accurate fact identification and sequential logical reasoning, particularly among numerous fact updates. To tackle these challenges, this paper introduces Graph Memory-based Editing for Large Language Models (GMeLLo), a straightforward and effective method that merges the explicit knowledge representation of Knowledge Graphs (KGs) with the linguistic flexibility of LLMs. Beyond merely leveraging LLMs for question answering, GMeLLo employs these models to convert free-form language into structured queries and fact triples, facilitating seamless interaction with KGs for rapid updates and precise multi-hop reasoning. Our results show that GMeLLo significantly surpasses current state-of-the-art (SOTA) knowledge editing methods in the multi-hop question answering benchmark, MQuAKE, especially in scenarios with extensive knowledge edits."",2024-12-04,2025-02-16 14:54:36,2025-02-16 14:54:36,2025-02-16 14:54:36,,,,,,,,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2408.15903 [cs],,C:\Users\kasutaja\Zotero\storage\DKXHDH68\Chen et al. - 2024 - LLM-Based Multi-Hop Question Answering with Knowle.pdf"; C:\Users\kasutaja\Zotero\storage\L6FHTI38\2408.html,,,Computer Science - Computation and Language,,,,,,,,,,,,,,,,,,,arXiv:2408.15903,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kokkuvõtte tegemisel tekkis viga.;;;;;;;;;;;;;;;;
